İlk Harcamanızın Yarısı İade!
Emlak Katılım Mobil uygulaması üzerinden görüntülü görüşme ile müşteri olanlar, ilk harcamalarının yarısı kadar, toplamda 500 TL’ye varan nakit iade kazanıyor.
| Finansman Tahsis Ücreti | Ödenecek Toplam Tutar | Taksit Sayısı | Taksit Tutarı | Finansman Tutarı | Ekspertiz Ücreti | İpotek Tesis Bedeli | Toplam Masraf | Kâr Oranı % | 
|---|---|---|---|---|---|---|---|---|
| 5,75 TL | 2.890,88 TL | 48 | 60,22 TL | 1.000 TL | 0 TL | 0 TL | 5,75 TL | 4.29 | 
| Taksit No | Taksit Tutarı | Kalan Ana Para | Ana Para | Kâr Tutarı | KKDF | BSMV | 
| 13 | 60.22 TL | 918.25 TL | 8.54 TL | 39.76 TL | 5.96 TL | 5.96 TL | 
| 14 | 60.22 TL | 909.24 TL | 9.01 TL | 39.39 TL | 5.91 TL | 5.91 TL | 
| 15 | 60.22 TL | 899.73 TL | 9.51 TL | 39.01 TL | 5.85 TL | 5.85 TL | 
| 16 | 60.22 TL | 889.69 TL | 10.04 TL | 38.6 TL | 5.79 TL | 5.79 TL | 
| 17 | 60.22 TL | 879.1 TL | 10.59 TL | 38.17 TL | 5.73 TL | 5.73 TL | 
| 18 | 60.22 TL | 867.91 TL | 11.19 TL | 37.71 TL | 5.66 TL | 5.66 TL | 
| 19 | 60.22 TL | 856.08 TL | 11.83 TL | 37.23 TL | 5.58 TL | 5.58 TL | 
| 20 | 60.22 TL | 843.61 TL | 12.47 TL | 36.73 TL | 5.51 TL | 5.51 TL | 
| 21 | 60.22 TL | 830.44 TL | 13.17 TL | 36.19 TL | 5.43 TL | 5.43 TL | 
| 22 | 60.22 TL | 816.53 TL | 13.91 TL | 35.63 TL | 5.34 TL | 5.34 TL | 
| 23 | 60.22 TL | 801.84 TL | 14.69 TL | 35.03 TL | 5.25 TL | 5.25 TL | 
| 24 | 60.22 TL | 786.34 TL | 15.5 TL | 34.4 TL | 5.16 TL | 5.16 TL | 
| 25 | 60.22 TL | 769.97 TL | 16.37 TL | 33.73 TL | 5.06 TL | 5.06 TL | 
| 26 | 60.22 TL | 752.68 TL | 17.29 TL | 33.03 TL | 4.95 TL | 4.95 TL | 
| 27 | 60.22 TL | 734.43 TL | 18.25 TL | 32.29 TL | 4.84 TL | 4.84 TL | 
| 28 | 60.22 TL | 715.18 TL | 19.25 TL | 31.51 TL | 4.73 TL | 4.73 TL | 
| 29 | 60.22 TL | 694.84 TL | 20.34 TL | 30.68 TL | 4.6 TL | 4.6 TL | 
| 30 | 60.22 TL | 673.37 TL | 21.47 TL | 29.81 TL | 4.47 TL | 4.47 TL | 
| 31 | 60.22 TL | 650.7 TL | 22.67 TL | 28.89 TL | 4.33 TL | 4.33 TL | 
| 32 | 60.22 TL | 626.78 TL | 23.92 TL | 27.92 TL | 4.19 TL | 4.19 TL | 
| 33 | 60.22 TL | 601.51 TL | 25.27 TL | 26.89 TL | 4.03 TL | 4.03 TL | 
| 34 | 60.22 TL | 574.83 TL | 26.68 TL | 25.8 TL | 3.87 TL | 3.87 TL | 
| 35 | 60.22 TL | 546.67 TL | 28.16 TL | 24.66 TL | 3.7 TL | 3.7 TL | 
| 36 | 60.22 TL | 516.94 TL | 29.73 TL | 23.45 TL | 3.52 TL | 3.52 TL | 
| 37 | 60.22 TL | 485.56 TL | 31.38 TL | 22.18 TL | 3.33 TL | 3.33 TL | 
| 38 | 60.22 TL | 452.41 TL | 33.15 TL | 20.83 TL | 3.12 TL | 3.12 TL | 
| 39 | 60.22 TL | 417.42 TL | 34.99 TL | 19.41 TL | 2.91 TL | 2.91 TL | 
| 40 | 60.22 TL | 380.49 TL | 36.93 TL | 17.91 TL | 2.69 TL | 2.69 TL | 
| 41 | 60.22 TL | 341.49 TL | 39 TL | 16.32 TL | 2.45 TL | 2.45 TL | 
| 42 | 60.22 TL | 300.32 TL | 41.17 TL | 14.65 TL | 2.2 TL | 2.2 TL | 
| 43 | 60.22 TL | 256.84 TL | 43.48 TL | 12.88 TL | 1.93 TL | 1.93 TL | 
| 44 | 60.22 TL | 210.94 TL | 45.9 TL | 11.02 TL | 1.65 TL | 1.65 TL | 
| 45 | 60.22 TL | 162.49 TL | 48.45 TL | 9.05 TL | 1.36 TL | 1.36 TL | 
| 46 | 60.22 TL | 111.34 TL | 51.15 TL | 6.97 TL | 1.05 TL | 1.05 TL | 
| 47 | 60.22 TL | 57.34 TL | 54 TL | 4.78 TL | 0.72 TL | 0.72 TL | 
| 48 | 60.54 TL | 0 TL | 57.34 TL | 2.46 TL | 0.37 TL | 0.37 TL | 
| Toplam Ödeme : | 2890.88 TL |  |  |  |  |  |
